<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.09.06	1.40637	1.42544	1.39733	1.40010	100638	0	7
2011.09.07	1.40007	1.41476	1.40001	1.40838	94976	0	7
2011.09.08	1.40839	1.40888	1.38720	1.39015	97398	0	6
2011.09.09	1.39015	1.39360	1.36272	1.36532	104141	0	7
2011.09.12	1.35783	1.36920	1.34989	1.36604	117773	0	7
2011.09.13	1.36603	1.37385	1.35582	1.36782	111128	0	6
2011.09.14	1.36782	1.37826	1.35909	1.37406	113708	0	7
2011.09.15	1.37401	1.39359	1.37031	1.38810	105969	0	7
2011.09.16	1.38809	1.38835	1.37536	1.37941	95834	0	7
2011.09.19	1.36761	1.37196	1.35868	1.36742	101440	0	7
2011.09.20	1.36745	1.37432	1.35927	1.37007	112022	0	6
2011.09.21	1.37004	1.37953	1.35578	1.35871	112465	0	4
2011.09.22	1.35865	1.36001	1.33856	1.34549	124341	0	4
2011.09.23	1.34549	1.35663	1.34188	1.34974	119062	0	7
2011.09.26	1.35078	1.35492	1.33624	1.35268	124551	0	7
2011.09.27	1.35268	1.36668	1.34793	1.35849	112088	0	7
2011.09.28	1.35849	1.36892	1.35228	1.35245	109597	0	4
2011.09.29	1.35247	1.36774	1.35194	1.35824	114179	0	6
2011.09.30	1.35831	1.36001	1.33837	1.33846	104660	0	4
2011.10.03	1.33447	1.33808	1.31635	1.31899	112427	0	7
2011.10.04	1.31901	1.33681	1.31458	1.33365	122484	0	7
2011.10.05	1.33363	1.33826	1.32599	1.33472	113635	0	4
2011.10.06	1.33466	1.34500	1.32417	1.34274	107650	0	7
2011.10.07	1.34275	1.35241	1.33607	1.33755	119619	0	2
2011.10.10	1.33863	1.36975	1.33774	1.36349	94215	0	6
2011.10.11	1.36353	1.36828	1.35654	1.36489	100139	0	7
2011.10.12	1.36493	1.38325	1.35824	1.37759	102879	0	7
2011.10.13	1.37759	1.38251	1.36852	1.37716	103352	0	7
2011.10.14	1.37716	1.38936	1.37231	1.38780	97421	0	6
2011.10.17	1.38782	1.39137	1.37241	1.37346	97300	0	7
2011.10.18	1.37349	1.38163	1.36526	1.37331	106548	0	6
2011.10.19	1.37336	1.38681	1.37247	1.37579	104641	0	7
2011.10.20	1.37578	1.38412	1.36565	1.37759	109672	0	7
2011.10.21	1.37759	1.39004	1.37043	1.38917	101192	0	7
2011.10.24	1.38686	1.39557	1.38222	1.39314	102017	0	7
2011.10.25	1.39316	1.39588	1.38492	1.39079	104531	0	7
2011.10.26	1.39081	1.39740	1.37997	1.38941	105800	0	6
2011.10.27	1.38943	1.42460	1.38641	1.41844	113922	0	6
2011.10.28	1.41843	1.42001	1.41331	1.41453	96320	0	6
2011.10.31	1.41501	1.41695	1.38287	1.38594	107043	0	6
